Region,Site,Latitude,Longitude,Date,Method,ID,Sex,Age_class,Mass,Culmen,Tarsus,Wing_length
Southeast AK,Juneau,58.30148,-134.68385,2012-04-08,Capture,176721819,Female,After Hatch Year,752,31.15,36.64,222
Southeast AK,Juneau,58.30148,-134.68385,2012-04-08,Capture,176721817,Female,After Hatch Year,772,31.7,36.91,225
Southeast AK,Juneau,58.24819,-134.33679,2012-04-06,Capture,176721801,Male,Hatch Year,1040,35.9,40.45,230
Southeast AK,Juneau,58.30148,-134.68385,2012-04-08,Capture,176721824,Male,Hatch Year,949,33.92,40.55,230
Southeast AK,Juneau,58.24651,-134.33572,2012-04-09,Capture,176721830,Male,After Hatch Year,1130,38.7,39.3,232
Southeast AK,Juneau,58.25699,-134.32143,2012-04-07,Capture,,Male,After Hatch Year,1076,34.3,40.42,232
Southeast AK,Juneau,58.23174,-134.30043,2012-04-10,Capture,176721833,Male,After Hatch Year,1065,35.66,40.86,232
Southeast AK,Juneau,58.25699,-134.32143,2012-04-07,Capture,176721802,Male,After Hatch Year,1141,34.48,41.69,232
Southeast AK,Juneau,58.25699,-134.32143,2012-04-09,Capture,176721825,Male,After Hatch Year,995,33.7,39.91,235
Southeast AK,Juneau,58.30148,-134.68385,2012-04-08,Capture,176721814,Male,After Hatch Year,996,34.94,40.27,235
Southeast AK,Juneau,58.24651,-134.33572,2012-04-07,Capture,176721810,Male,After Hatch Year,1075,33.22,40.51,235
Southeast AK,Juneau,58.30148,-134.68385,2012-04-12,Capture,176721703,Male,After Hatch Year,1041,33.38,41.01,235
Southeast AK,Juneau,58.25699,-134.32143,2012-04-09,Capture,176721829,Male,After Hatch Year,1136,34.3,41.96,235
Southeast AK,Juneau,58.24651,-134.33572,2012-04-07,Capture,176721806,Male,After Hatch Year,1035,33.21,38.56,236
Southeast AK,Juneau,58.25699,-134.32143,2012-04-07,Capture,176721811,Male,After Hatch Year,1007,33.61,40.4,236
Southeast AK,Juneau,58.22058,-134.49101,2012-04-18,Capture,176721850,Male,After Hatch Year,1026,33.58,38.72,237
Southeast AK,Juneau,58.30148,-134.68385,2012-04-08,Capture,176721818,Male,After Hatch Year,1051,33.68,40.3,237
Southeast AK,Juneau,58.25699,-134.32143,2012-04-09,Capture,176721828,Male,After Hatch Year,1080,35.14,40.79,237
Southeast AK,Juneau,58.30148,-134.68385,2012-04-08,Capture,176721816,Male,After Hatch Year,1122,35.16,41.1,239
Southeast AK,Juneau,58.25699,-134.32143,2012-04-09,Capture,176721826,Male,After Hatch Year,994,34.62,39.74,240
Southeast AK,Juneau,58.25699,-134.32143,2012-04-07,Capture,176721803,Male,After Hatch Year,1152,34.21,40.52,240
Southeast AK,Juneau,58.30148,-134.68385,2012-04-08,Capture,176721823,Male,After Hatch Year,1130,33.58,40.54,240
Southeast AK,Juneau,58.25699,-134.32143,2012-04-09,Capture,176721827,Male,After Hatch Year,1102,35.22,40.58,240
Southeast AK,Juneau,58.30148,-134.68385,2012-04-08,Capture,176721813,Male,After Hatch Year,1191,35.05,40.71,240
Southeast AK,Juneau,58.30148,-134.68385,2012-04-08,Capture,176721815,Male,After Hatch Year,1192,33.72,41.72,240
Southeast AK,Juneau,58.23174,-134.30043,2012-04-15,Capture,176721840,Male,After Hatch Year,1167,36.1,41.19,241
Southeast AK,Juneau,58.23174,-134.30043,2012-04-10,Capture,176721834,Male,After Hatch Year,1108,33.68,39,242
Southeast AK,Juneau,58.25938,-134.35732,2012-04-17,Capture,176721844,Male,After Hatch Year,1244,35.18,39.6,242
Southeast AK,Juneau,58.25699,-134.32143,2012-04-07,Capture,176721812,Male,After Hatch Year,1094,33.86,40.15,242
Southeast AK,Juneau,58.22058,-134.49101,2012-04-18,Capture,176721849,Male,After Hatch Year,1202,33.62,40.4,242
Southeast AK,Juneau,58.24651,-134.33572,2012-04-07,Capture,,Male,After Hatch Year,1101,36.08,40.9,242
Southeast AK,Juneau,58.30148,-134.68385,2012-04-12,Capture,176721702,Male,After Hatch Year,1232,35.39,41,242
Southeast AK,Juneau,58.30148,-134.68385,2012-04-08,Capture,176721822,Male,After Hatch Year,1173,33.35,41.14,242
Southeast AK,Juneau,58.30148,-134.68385,2012-04-14,Capture,176721709,Male,After Hatch Year,1158,34.02,42.12,242
Southeast AK,Juneau,58.30148,-134.68385,2012-04-08,Capture,176721820,Male,After Hatch Year,1127,33,42.3,242
Southeast AK,Juneau,58.22058,-134.49101,2012-04-18,Capture,176721846,Male,After Hatch Year,1148,33.72,40,243
Southeast AK,Juneau,58.30148,-134.68385,2012-04-12,Capture,176721838,Male,After Hatch Year,1172,33.72,40.16,243
Southeast AK,Juneau,58.23174,-134.30043,2012-04-10,Capture,176721835,Male,After Hatch Year,1141,36.78,41.1,243
Southeast AK,Juneau,58.22058,-134.49101,2012-04-18,Capture,176721848,Male,After Hatch Year,1016,35,41.12,243
Southeast AK,Juneau,58.22058,-134.49101,2012-04-18,Capture,176721847,Male,After Hatch Year,1023,36.12,40.18,244
Southeast AK,Juneau,58.52515,-134.82384,2012-04-10,Capture,176721701,Male,After Hatch Year,1116,35.91,40.33,250
Southeast AK,Juneau,58.30148,-134.68385,2012-04-12,Capture,176721707,Male,After Hatch Year,1114,,,
Southeast AK,Juneau,58.30148,-134.68385,2012-04-12,Capture,176721706,Male,After Hatch Year,1062,,,
Southeast AK,Juneau,58.22058,-134.49101,2012-04-15,Capture,176721710,Male,After Hatch Year,,,,
Southeast AK,Juneau,58.52515,-134.82384,2012-04-13,Capture,176721708,Male,After Hatch Year,,,,
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721934,Female,Hatch Year,738,32.6,38.4,192
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721925,Female,After Hatch Year,667,29.7,36.3,200
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721932,Female,Hatch Year,585,30,37,200
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721931,Female,Hatch Year,663,30.4,37.3,204
South-central AK,Kachemak Bay,,,2013-04-08,Capture,176721718,Female,Hatch Year,650,32.3,37.4,204
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721929,Female,Hatch Year,711,30.8,37.4,205
South-central AK,Kachemak Bay,,,2013-04-05,Capture,176721857,Female,Hatch Year,648,30.2,38.7,205
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721927,Female,Hatch Year,685,31.1,38.78,205
South-central AK,Kachemak Bay,,,2013-04-08,Capture,176721717,Female,Hatch Year,720,31.2,40.3,205
South-central AK,Kachemak Bay,,,2013-04-05,Capture,176721851,Female,Hatch Year,672,30.8,36.3,208
South-central AK,Kachemak Bay,,,2013-04-05,Capture,176721859,Female,Hatch Year,665,30.5,38.5,210
South-central AK,Kachemak Bay,,,2013-04-05,Capture,176721856,Female,Hatch Year,706,30.6,38.7,210
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721924,Female,Hatch Year,728,30.62,39.9,210
South-central AK,Kachemak Bay,,,2013-04-08,Capture,176721721,Female,After Hatch Year,737,31.9,37.8,215
South-central AK,Kachemak Bay,,,2013-04-05,Capture,176721939,Female,After Hatch Year,789,30.5,39.5,217
South-central AK,Kachemak Bay,,,2013-04-08,Capture,176721950,Female,After Hatch Year,811,31.7,40.1,218
South-central AK,Kachemak Bay,,,2013-04-06,Capture,176721944,Female,After Hatch Year,850,32.4,40.7,220
South-central AK,Kachemak Bay,,,2013-04-03,Capture,176721908,Female,After Hatch Year,761,31.8,38.1,221
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721920,Female,After Hatch Year,767,31.6,38.3,221
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721921,Female,After Hatch Year,772,28.9,40.2,221.2
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721938,Female,After Hatch Year,804,31.4,40.6,222
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721933,Female,After Hatch Year,830,31.5,40.9,222
South-central AK,Kachemak Bay,,,2013-04-03,Capture,176721910,Female,After Hatch Year,711,30.3,47,222
South-central AK,Kachemak Bay,,,2013-04-03,Capture,176721912,Male,After Hatch Year,939,33.5,44.2,223.5
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721915,Female,After Hatch Year,759.4,33.6,38,224
South-central AK,Kachemak Bay,,,2013-04-08,Capture,176721949,Female,After Hatch Year,787,30.9,41.1,224
South-central AK,Kachemak Bay,,,2013-04-05,Capture,,Male,After Hatch Year,1134,33.2,43.2,224
South-central AK,Kachemak Bay,,,2013-04-03,Capture,176721911,Male,After Hatch Year,1045,33.2,44.9,224.3
South-central AK,Kachemak Bay,,,2013-04-03,Capture,176721914,Male,After Hatch Year,1055.4,34.2,43.6,224.5
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721926,Female,Hatch Year,707,32.2,40,225
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721937,Male,Hatch Year,1047,33.6,40.7,230
South-central AK,Kachemak Bay,,,2013-04-05,Capture,176721853,Male,Hatch Year,947,35,42,230
South-central AK,Kachemak Bay,,,2013-04-05,Capture,176721858,Male,Hatch Year,1072,36.9,42.5,230
South-central AK,Kachemak Bay,,,2013-04-04,Capture,176721928,Male,After Hatch Year,947,33.68,42.6,231
South-central AK,Kachemak Bay,,,2013-04-06,Capture,176721941,Male,After Hatch Year,1066,34.7,40.4,233
